label,link,specialization,films_years,description
Максим Стоянов,https://www.kinopoisk.ru/name/3502474,Актер,"67, 2013 — 2024","Гив ми либерти,Калашников,Вызов,Фрау,Капитан Волконогов бежал,Шифр 3,The Телки,Ира,Мерзлая земля,Шифр"
Вера Плешанова,https://www.kinopoisk.ru/name/5737324,Актриса,"40, 2000 — 2023","Серебряные коньки,Неадекватные люди 2,Чужой,Знахарь,Лихач,Спросите медсестру,Знахарь 2"
Мария Бутырская,https://www.kinopoisk.ru/name/1557106,Актриса,"6, 2004 — 2008",
Анастасия Сидорова,https://www.kinopoisk.ru/name/7187491,Актриса дубляжа,"3, 2021 — 2023",
Наталья Серебрянникова,https://www.kinopoisk.ru/name/924719,Актриса,"2, 1956 — 1958",Человек родился
Шах-Мурат Ордабаев,https://www.kinopoisk.ru/name/5366679,"Актер дубляжа,Актер,Режиссер дубляжа","6, 2013 — 2024",Дос-Мукасан
Вероника Сазонова,https://www.kinopoisk.ru/name/1969689,Актриса,"10, 2006 — 2016",Интерны
Корнелия Манго,https://www.kinopoisk.ru/name/1543704,Актриса,"8, 2006 — 2013",
Ангелина Павлова,https://www.kinopoisk.ru/name/10119059,Актер,"1, 2023 — 2023",Хоккейные папы
Анна Табанина,https://www.kinopoisk.ru/name/520114,Актриса,"36, 1996 — 2022","Северное сияние. О чем молчат русалки. Фильм пятый,Пять невест,Ленинград 46,Экспроприатор,Шеф 3,Шеф. Игра на повышение,Мост"
Игорь Кроль,https://www.kinopoisk.ru/name/3704736,Актер,"1, 2014 — 2014",
Станислав Румянцев,https://www.kinopoisk.ru/name/3702943,Актер,"16, 2014 — 2023","Майя,Трудные подростки,Большая игра,За час до рассвета,ИП Пирогова"
Николай Срывков,https://www.kinopoisk.ru/name/5474891,Композитор,"2, 2017 — 2018",
Владимир Пономарев,https://www.kinopoisk.ru/name/338878,"Оператор,Актер","5, 1961 — 1974",
Валерий Крупенин,https://www.kinopoisk.ru/name/1843628,Актер,"30, 2002 — 2023","Благословите женщину,Настройщик,Я на перемотке!,Балет,Под ливнем пуль,Сонька Золотая Ручка,Жажда"
Елена Коренева,https://www.kinopoisk.ru/name/158326,"Актриса,Актриса дубляжа","99, 1970 — 2022","Тот самый Мюнхгаузен,Покровские ворота,Вишнёвый сад,Вас вызывает Таймыр,Тайна Эдвина Друда,Отель «Толедо»,Родная мачеха,Большая перемена,Сибириада,Ленинград 46"
Маруся Пуссер,https://www.kinopoisk.ru/name/7126570,Актриса,"2, 2020 — 2023",
Артур Илюшкин,https://www.kinopoisk.ru/name/4599306,Актер,"1, 2020 — 2020",
Амина Казачкова,https://www.kinopoisk.ru/name/5775875,Актриса,"8, 2013 — 2020","Лондонград. Знай наших,Выжить после,Вы все меня бесите"
Зепюр Прилучная-Брутян,https://www.kinopoisk.ru/name/4921697,"Актриса,Актриса дубляжа","12, 2017 — 2024","Последний аксель,Трепачи,Ералаш,Бихэппи"
Владимир Заболотский,https://www.kinopoisk.ru/name/3729658,"Актер,Сценарист","1, 2015 — 2015",
Валерия Новодворская,https://www.kinopoisk.ru/name/1608838,Актриса,"4, 1998 — 2009",День выборов
Анастасия Степанова,https://www.kinopoisk.ru/name/2549630,Актриса,"6, 2011 — 2016",
Василий Малофеев,https://www.kinopoisk.ru/name/4533739,Актер,"4, 2017 — 2022",
Гуф,https://www.kinopoisk.ru/name/1813900,"Актер,Продюсер,Актер дубляжа","16, 2009 — 2023",
Анастасия Попова,https://www.kinopoisk.ru/name/2969674,Актриса,"29, 2006 — 2023","257 причин, чтобы жить,Метод 2,Игра,Магомаев,Оттепель"
Таисия Повалий,https://www.kinopoisk.ru/name/1304313,"Актриса,Актриса дубляжа","16, 1991 — 2019",Ночь вопросов...
Диана Дэлль,https://www.kinopoisk.ru/name/1890723,Актриса,"6, 2008 — 2020",
Мария Гужова,https://www.kinopoisk.ru/name/6563539,Актриса,"3, 2016 — 2023",
Борис Ливанов,https://www.kinopoisk.ru/name/220507,"Актер,Режиссер,Сценарист","42, 1924 — 2006","Адмирал Ушаков,Михайло Ломоносов,Крейсер «Варяг»,Слепой музыкант,Степень риска"
Милош Сарсев,https://www.kinopoisk.ru/name/1372913,Актер,"1, 2005 — 2005",
Андрей Кузичев,https://www.kinopoisk.ru/name/231322,"Актер,Режиссер","47, 2001 — 2023","Гидравлика,Папа,Вызов,Первая попытка,Черная метка,Любопытная Варвара 2,Моя большая семья,Доктор Живаго,Дети Арбата"
Анастасия Леонтьева,https://www.kinopoisk.ru/name/5515604,Актриса,"10, 2015 — 2023","Московские тайны. Бедная Лиза,Гранд,Полёт,ИП Пирогова,Доктор Краснов"
Татьяна Толстая,https://www.kinopoisk.ru/name/595559,"Актриса,Сценарист","6, 1991 — 2010",
Денис Левашов,https://www.kinopoisk.ru/name/2670112,Актер,"5, 2011 — 2014",Сваты 5
Анастасия Козяр,https://www.kinopoisk.ru/name/7148827,"Режиссер,Сценарист","2, 2021 — 2021",
Марина Казанкова,https://www.kinopoisk.ru/name/727388,Актриса,"33, 1999 — 2020","Триггер,Короли игры,Морской патруль"
Ольга Битюкова,https://www.kinopoisk.ru/name/304747,"Актриса,Актриса дубляжа","46, 1973 — 2021","Отроки во Вселенной,Ангел пролетел,Убить дракона,Москва — Кассиопея,Зимний вечер в Гаграх,Каникулы Кроша"
Александр Бердников,https://www.kinopoisk.ru/name/1543720,Актер,"16, 2010 — 2014",
Дмитрий Коваль,https://www.kinopoisk.ru/name/4603598,Оператор,"5, 2017 — 2018",
Дарья Захарова,https://www.kinopoisk.ru/name/7149380,Актриса,"1, 2023 — 2023",
Михаил Гомиашвили,https://www.kinopoisk.ru/name/884364,Актер,"25, 1992 — 2023","Хэппи-энд,Заступники"
Сергей Кристовский,https://www.kinopoisk.ru/name/1474100,"Актер,Композитор","23, 2007 — 2023",День выборов
Хашим Арсланов,https://www.kinopoisk.ru/name/2710008,Актер,"12, 1983 — 2022",
Юлия Колисниченко,https://www.kinopoisk.ru/name/2606866,,1,
Владимир Ипатов,https://www.kinopoisk.ru/name/3733547,Актер,"41, 2007 — 2018","Последний богатырь,Анна-детективъ,Мамочки,Восьмидесятые,Спасти босса,Как я стал русским"
Филипп Ролихин,https://www.kinopoisk.ru/name/2609621,"Режиссер,Сценарист,Оператор,Монтажер","9, 2010 — 2021",
Дарья Медовая,https://www.kinopoisk.ru/name/4236101,Актриса,"1, 2012 — 2012",
Валентин Сунцов,https://www.kinopoisk.ru/name/4715474,"Актер,Режиссер,Сценарист,Продюсер,Монтажер","7, 2011 — 2019",
Маргарита Павлова,https://www.kinopoisk.ru/name/3070250,"Актриса,Актриса дубляжа","15, 2011 — 2022",
